id,ano,produto,volume,linha,categoria_produto,subcategoria_produto,nivel_produto,eh_agregado
4,2019,  Branco,20661836,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
5,2019,VINHO  FINO DE MESA,15684588,,Vinho,Vinifera,1,True
6,2019,  Tinto,11433702,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
7,2019,  Rosado,503524,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
8,2019,  Branco,3747362,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
9,2019,VINHO FRIZANTE,1826433,,Vinho,Produto Final,3,False
10,2019,VINHO ORGÂNICO,2554,,Vinho,Organico,3,False
11,2019,VINHO ESPECIAL,0,,Vinho,Especial,1,True
12,2019,  Tinto,0,Vinho Especial,Vinho,Vinho de Mesa,3,False
13,2019,  Rosado,0,Vinho Especial,Vinho,Vinho de Mesa,3,False
14,2019,  Branco,0,Vinho Especial,Vinho,Vinho de Mesa,3,False
15,2019,ESPUMANTES ,22759859,,Espumante,Produto Final,3,False
16,2019,  Espumante  Moscatel,8997187,Espumantes,Espumante,Produto Final,3,False
17,2019,  Espumante,13762361,Espumantes,Espumante,Produto Final,3,False
18,2019,  Espumante Orgânico,311,Espumantes,Espumante,Produto Final,3,False
19,2019,SUCO DE UVAS,147907617,,Suco,Suco de Uva,1,True
20,2019,  Suco Natural Integral,131628685,Sucos,Suco,Suco de Uva,3,False
21,2019,  Suco Adoçado,0,Sucos,Suco,Suco de Uva,3,False
22,2019,  Suco Reprocessado/reconstituido,7759932,Sucos,Suco,Suco de Uva,3,False
23,2019,  Suco Orgânico,416849,Sucos,Suco,Suco de Uva,3,False
24,2019,  Outros sucos de uvas,8102151,Sucos,Suco,Suco de Uva,3,False
25,2019,SUCO DE UVAS CONCENTRADO,28721470,,Suco,Suco de Uva,3,False
26,2019,OUTROS PRODUTOS COMERCIALIZADOS,34794651,,Outros,Outros Produtos,1,True
27,2019,  Outros vinhos (sem informação detalhada),310886,Outros,Vinho,Produto Final,3,False
28,2019,"  Agrin (fermentado, acetico misto)",0,Outros,Derivados,Derivados Industriais,2,False
29,2019,  Aguardente de vinho 50°gl,0,Outros,Vinho,Produto Final,3,False
30,2019,  Alcool vinico,0,Outros,Destilado,Produto Final,3,False
31,2019,  Bagaceira (graspa),8746,Outros,Destilado,Produto Final,3,False
32,2019,  Base champenoise champanha,65692,Outros,Espumante,Base,2,False
33,2019,  Base charmat champanha,271714,Outros,Espumante,Base,2,False
34,2019,  Base espumante moscatel,115468,Outros,Espumante,Base,2,False
35,2019,  Bebida de uva,498512,Outros,Suco,Suco de Uva,3,False
36,2019,  Borra líquida,17398,Outros,Derivados,Derivados Industriais,2,False
37,2019,  Borra seca,153770,Outros,Derivados,Derivados Industriais,2,False
38,2019,  Brandy (conhaque),5015,Outros,Destilado,Produto Final,3,False
39,2019,  Cooler,3782516,Outros,Outros,Bebidas Mistas,3,False
40,2019,  Coquetel com vinho,269701,Outros,Outros,Bebidas Mistas,3,False
41,2019,  Destilado de vinho,309,Outros,Vinho,Produto Final,3,False
42,2019,  Filtrado doce,4076204,Outros,Derivados,Derivados Industriais,2,False
43,2019,  Jeropiga,0,Outros,Mosto,Intermediario,2,False
